 Fx=  0.000000000000000E+000 Fy=  0.400000005960464      Fz=
  0.000000000000000E+000 top layer nodes
   269        -0.25255E-02        -0.19803E+01         0.16861E-02
   272        -0.27803E-02        -0.27131E+01         0.24646E-02
   275        -0.16398E-02        -0.33643E+01         0.37642E-02
   278        -0.30647E-02        -0.38094E+01         0.48463E-02
   281         0.63330E-13        -0.39959E+01         0.10930E-01
   284         0.30647E-02        -0.38094E+01         0.48463E-02
   287         0.16398E-02        -0.33643E+01         0.37642E-02
   290         0.27803E-02        -0.27131E+01         0.24646E-02
   293         0.25255E-02        -0.19803E+01         0.16861E-02
   296         0.26244E-02        -0.12965E+01         0.18968E-02
   299        -0.18062E-02        -0.53936E+00         0.11189E-02
   302        -0.16481E-02        -0.13218E+01         0.15134E-02
   305        -0.17585E-02        -0.20755E+01         0.25600E-02
   308        -0.20669E-02        -0.27307E+01         0.36329E-02
   311         0.24467E-03        -0.31776E+01         0.44508E-02
   314         0.84753E-13        -0.33191E+01         0.31538E-02
   317        -0.24467E-03        -0.31776E+01         0.44508E-02
   320         0.20669E-02        -0.27307E+01         0.36329E-02
   323         0.17585E-02        -0.20755E+01         0.25600E-02
   326         0.16481E-02        -0.13218E+01         0.15134E-02
   329         0.18062E-02        -0.53936E+00         0.11189E-02
   332         0.38366E-11         0.20234E-09        -0.40597E-11
   335        -0.17207E-02        -0.69332E+00         0.14725E-02
   338        -0.22168E-02        -0.14560E+01         0.25760E-02
   341        -0.15183E-02        -0.21341E+01         0.29823E-02
   344        -0.20096E-02        -0.25929E+01         0.40964E-02
   347         0.73762E-13        -0.27733E+01         0.77551E-02
   350         0.20096E-02        -0.25929E+01         0.40964E-02
   353         0.15183E-02        -0.21341E+01         0.29823E-02
   356         0.22168E-02        -0.14560E+01         0.25760E-02
   359         0.17207E-02        -0.69332E+00         0.14725E-02
   362        -0.38366E-11         0.20234E-09        -0.40597E-11
 Fx=  0.000000000000000E+000 Fy=  0.400000005960464      Fz=
  0.000000000000000E+000 bottom layer nodes
     3         0.44992E-09         0.14973E-09         0.49403E-09
     6        -0.42133E+00        -0.73514E+00        -0.35790E+00
     9        -0.39329E+00        -0.14443E+01        -0.36088E+00
    12        -0.33158E+00        -0.21208E+01        -0.34616E+00
    15        -0.18137E+00        -0.25725E+01        -0.33224E+00
    18        -0.17922E-12        -0.27222E+01        -0.31643E+00
    21         0.18137E+00        -0.25725E+01        -0.33224E+00
    24         0.33158E+00        -0.21208E+01        -0.34616E+00
    27         0.39329E+00        -0.14443E+01        -0.36088E+00
    30         0.42133E+00        -0.73514E+00        -0.35790E+00
    33        -0.44992E-09         0.14973E-09         0.49403E-09
    36        -0.48849E+00        -0.66918E+00        -0.30037E+00
    39        -0.38266E+00        -0.13060E+01        -0.35312E+00
    42        -0.43852E+00        -0.20737E+01        -0.39131E+00
    45        -0.33015E+00        -0.27134E+01        -0.37444E+00
    48        -0.18759E+00        -0.31557E+01        -0.37451E+00
    51        -0.86972E-13        -0.33270E+01        -0.37416E+00
    54         0.18759E+00        -0.31557E+01        -0.37451E+00
    57         0.33015E+00        -0.27134E+01        -0.37444E+00
    60         0.43852E+00        -0.20737E+01        -0.39131E+00
    63         0.38266E+00        -0.13060E+01        -0.35312E+00
    66         0.48849E+00        -0.66918E+00        -0.30037E+00
    69        -0.39259E+00        -0.12244E+01        -0.38536E+00
    72        -0.46643E+00        -0.19846E+01        -0.37734E+00
    75        -0.41121E+00        -0.27000E+01        -0.37075E+00
    78        -0.33791E+00        -0.33382E+01        -0.37843E+00
    81        -0.18551E+00        -0.37825E+01        -0.38583E+00
    84        -0.19210E-12        -0.39204E+01        -0.38534E+00
    87         0.18551E+00        -0.37825E+01        -0.38583E+00
    90         0.33791E+00        -0.33382E+01        -0.37843E+00
    93         0.41121E+00        -0.27000E+01        -0.37075E+00
    96         0.46643E+00        -0.19846E+01        -0.37734E+00
    99         0.39259E+00        -0.12244E+01        -0.38536E+00
   102        -0.43576E+00        -0.19149E+01        -0.29708E+00
   105        -0.42261E+00        -0.25603E+01        -0.30181E+00
   108        -0.42880E+00        -0.32822E+01        -0.30701E+00
   111        -0.34616E+00        -0.39297E+01        -0.31786E+00
   114        -0.20559E+00        -0.44019E+01        -0.34268E+00
   117        -0.96357E-13        -0.46117E+01        -0.37312E+00
   120         0.20559E+00        -0.44019E+01        -0.34268E+00
   123         0.34616E+00        -0.39297E+01        -0.31786E+00
   126         0.42880E+00        -0.32822E+01        -0.30701E+00
   129         0.42261E+00        -0.25603E+01        -0.30181E+00
   132         0.43576E+00        -0.19149E+01        -0.29708E+00
   135        -0.38748E+00        -0.22786E+01        -0.17238E+00
   138        -0.43781E+00        -0.29718E+01        -0.16846E+00
   141        -0.42854E+00        -0.36905E+01        -0.17215E+00
   144        -0.37472E+00        -0.43693E+01        -0.18767E+00
   147        -0.23658E+00        -0.49176E+01        -0.22158E+00
   150        -0.13399E-12        -0.51200E+01        -0.22068E+00
   153         0.23658E+00        -0.49176E+01        -0.22158E+00
   156         0.37472E+00        -0.43693E+01        -0.18767E+00
   159         0.42854E+00        -0.36905E+01        -0.17215E+00
   162         0.43781E+00        -0.29718E+01        -0.16846E+00
   165         0.38748E+00        -0.22786E+01        -0.17238E+00
   168        -0.40531E+00        -0.24751E+01         0.13670E-12
   171        -0.42282E+00        -0.31110E+01         0.26842E-12
   174        -0.44001E+00        -0.38364E+01         0.46087E-12
   177        -0.38597E+00        -0.45418E+01         0.68680E-12
   180        -0.25557E+00        -0.51139E+01         0.88375E-12
   183        -0.50823E-13        -0.54645E+01         0.95645E-12
   186         0.25557E+00        -0.51139E+01         0.95221E-12
   189         0.38597E+00        -0.45418E+01         0.82315E-12
   192         0.44001E+00        -0.38364E+01         0.65877E-12
   195         0.42282E+00        -0.31110E+01         0.40590E-12
   198         0.40531E+00        -0.24751E+01         0.32023E-12
   201        -0.38748E+00        -0.22786E+01         0.17238E+00
   204        -0.43781E+00        -0.29718E+01         0.16846E+00
   207        -0.42854E+00        -0.36905E+01         0.17215E+00
   210        -0.37472E+00        -0.43693E+01         0.18767E+00
   213        -0.23658E+00        -0.49176E+01         0.22158E+00
   216        -0.15344E-13        -0.51200E+01         0.22068E+00
   219         0.23658E+00        -0.49176E+01         0.22158E+00
   222         0.37472E+00        -0.43693E+01         0.18767E+00
   225         0.42854E+00        -0.36905E+01         0.17215E+00
   228         0.43781E+00        -0.29718E+01         0.16846E+00
   231         0.38748E+00        -0.22786E+01         0.17238E+00
   234        -0.43576E+00        -0.19149E+01         0.29708E+00
   237        -0.42261E+00        -0.25603E+01         0.30181E+00
   240        -0.42880E+00        -0.32822E+01         0.30701E+00
   243        -0.34616E+00        -0.39297E+01         0.31786E+00
   246        -0.20559E+00        -0.44019E+01         0.34268E+00
   249         0.12559E-14        -0.46117E+01         0.37312E+00
   252         0.20559E+00        -0.44019E+01         0.34268E+00
